,Location name,Address,Day,Times,What to do,Date added,gcode,lat,long
38,Countdown Birkenhead,"71 Mokoia Road, Birkenhead, Auckland 0626",Monday 16 August,8.10 am - 8.20 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '71', 'short_name': '71', 'types': ['street_number']}, {'long_name': 'Mokoia Road', 'short_name': 'Mokoia Rd', 'types': ['route']}, {'long_name': 'Birkenhead', 'short_name': 'Birkenhead', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': '71 Mokoia Road, Birkenhead, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.8116122, 'lng': 174.7241365}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8102632197085, 'lng': 174.7254854802915}, 'southwest': {'lat': -36.8129611802915, 'lng': 174.7227875197085}}}, 'place_id': 'ChIJl9WtNPI4DW0Rn0Sj8TYqpRc', 'plus_code': {'compound_code': '5PQF+9M Auckland, New Zealand', 'global_code': '4VMP5PQF+9M'}, 'types': ['street_address']}]",-36.8116122,174.7241365
39,Warehouse New Lynn,"7/13 Rata Street, New Lynn, Auckland 0600",Monday 16 August,7.45 am - 8.15am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '7-13', 'short_name': '7-13', 'types': ['street_number']}, {'long_name': 'Rata Street', 'short_name': 'Rata St', 'types': ['route']}, {'long_name': 'New Lynn', 'short_name': 'New Lynn', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '7-13 Rata Street, New Lynn, Auckland 0600, New Zealand', 'geometry': {'location': {'lat': -36.9076765, 'lng': 174.6784453}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9063275197085, 'lng': 174.6797942802915}, 'southwest': {'lat': -36.9090254802915, 'lng': 174.6770963197085}}}, 'place_id': 'ChIJJ7OFnUVBDW0RBypxZPEDDXE', 'plus_code': {'compound_code': '3MRH+W9 Auckland, New Zealand', 'global_code': '4VMP3MRH+W9'}, 'types': ['street_address']}, {'address_components': [{'long_name': '7', 'short_name': '7', 'types': ['subpremise']}, {'long_name': '13', 'short_name': '13', 'types': ['street_number']}, {'long_name': 'Rata Street', 'short_name': 'Rata St', 'types': ['route']}, {'long_name': 'New Lynn', 'short_name': 'New Lynn', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0600', 'short_name': '0600', 'types': ['postal_code']}], 'formatted_address': '7/13 Rata Street, New Lynn, Auckland 0600, New Zealand', 'geometry': {'location': {'lat': -36.90768, 'lng': 174.6784371}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9063310197085, 'lng': 174.6797860802915}, 'southwest': {'lat': -36.9090289802915, 'lng': 174.6770881197085}}}, 'place_id': 'EjY3LzEzIFJhdGEgU3RyZWV0LCBOZXcgTHlubiwgQXVja2xhbmQgMDYwMCwgTmV3IFplYWxhbmQiHRobChYKFAoSCf-6doBPQQ1tEbBS2TlZBpfxEgE3', 'types': ['subpremise']}]",-36.9076765,174.6784453
40,Countdown Birkenhead,"Cnr Highbury Pass & Birkenhead Ave, Birkenhead, 0626",Monday 16 August,7.00 am - 7.15 am,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': 'Birkenhead Avenue & Highbury Bypass', 'short_name': 'Birkenhead Ave & Highbury Bypass', 'types': ['intersection']}, {'long_name': 'Birkenhead', 'short_name': 'Birkenhead', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': 'Birkenhead Ave & Highbury Bypass, Birkenhead, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.8100918, 'lng': 174.7254879}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.80874281970849, 'lng': 174.7268368802915}, 'southwest': {'lat': -36.81144078029149, 'lng': 174.7241389197085}}}, 'place_id': 'EkhCaXJrZW5oZWFkIEF2ZSAmIEhpZ2hidXJ5IEJ5cGFzcywgQmlya2VuaGVhZCwgQXVja2xhbmQgMDYyNiwgTmV3IFplYWxhbmQiZiJkChQKEgmzzslb8TgNbRE7m4aFDNNSFRIUChIJs87JW_E4DW0RO5uGhQzTUhUaFAoSCZmP19fwOA1tEQySwlC55GvkGhQKEgmFT_Ym8jgNbRFmQzSp9JWRwSIKDco5D-oVX_4kaA', 'types': ['intersection']}]",-36.8100918,174.7254879
41,"Assembly of God (AOG) Church, Mangere","33 Andrew Baxter Drive, Mangare, Auckland, 2022",Sunday 15 August,Times TBC,Isolate at home. An active investigation is underway to confirm times. Please await further advice - we will update this as soon as possible.,20-Aug,"[{'address_components': [{'long_name': '33', 'short_name': '33', 'types': ['street_number']}, {'long_name': 'Andrew Baxter Drive', 'short_name': 'Andrew Baxter Dr', 'types': ['route']}, {'long_name': 'Māngere', 'short_name': 'Māngere', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2022', 'short_name': '2022', 'types': ['postal_code']}], 'formatted_address': '33 Andrew Baxter Drive, Māngere, Auckland 2022, New Zealand', 'geometry': {'location': {'lat': -36.9762178, 'lng': 174.7792346}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9748688197085, 'lng': 174.7805835802915}, 'southwest': {'lat': -36.9775667802915, 'lng': 174.7778856197085}}}, 'place_id': 'ChIJ6cxXMYRPDW0RQDZPBgHborY', 'plus_code': {'compound_code': '2QFH+GM Auckland, New Zealand', 'global_code': '4VMP2QFH+GM'}, 'types': ['street_address']}]",-36.9762178,174.7792346
42,BP Northcote,"50 Northcote Road, Northcote, Auckland 0627",Sunday 15 August,7.15 pm - 7.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '50', 'short_name': '50', 'types': ['street_number']}, {'long_name': 'Northcote Road', 'short_name': 'Northcote Rd', 'types': ['route']}, {'long_name': 'Northcote', 'short_name': 'Northcote', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0627', 'short_name': '0627', 'types': ['postal_code']}], 'formatted_address': '50 Northcote Road, Northcote, Auckland 0627, New Zealand', 'geometry': {'location': {'lat': -36.7936316, 'lng': 174.7464305}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.79228261970851, 'lng': 174.7477794802915}, 'southwest': {'lat': -36.79498058029151, 'lng': 174.7450815197085}}}, 'place_id': 'ChIJuQImb7M5DW0RyR2lJ7GLY24', 'plus_code': {'compound_code': '6P4W+GH Auckland, New Zealand', 'global_code': '4VMP6P4W+GH'}, 'types': ['street_address']}]",-36.7936316,174.7464305
43,"Countdown, Lynfield","570 Hillsborough Road, Mount Roskill, 1041",Sunday 15 August,8.00 pm - 8.15 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '570', 'short_name': '570', 'types': ['street_number']}, {'long_name': 'Hillsborough Road', 'short_name': 'Hillsborough Rd', 'types': ['route']}, {'long_name': 'Mount Roskill', 'short_name': 'Mount Roskill', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1041', 'short_name': '1041', 'types': ['postal_code']}], 'formatted_address': '570 Hillsborough Road, Mount Roskill, Auckland 1041, New Zealand', 'geometry': {'location': {'lat': -36.9258726, 'lng': 174.7227564}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9245236197085, 'lng': 174.7241053802915}, 'southwest': {'lat': -36.9272215802915, 'lng': 174.7214074197085}}}, 'place_id': 'ChIJ68B29ihEDW0R7torKwVWof0', 'plus_code': {'compound_code': '3PFF+M4 Auckland, New Zealand', 'global_code': '4VMP3PFF+M4'}, 'types': ['street_address']}]",-36.9258726,174.7227564
44,McDonalds Auckland Airport,"12 Leonard Isitt Drive, Auckland Airport, Auckland 2022",Sunday 15 August,8.00 pm - 11.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '12', 'short_name': '12', 'types': ['street_number']}, {'long_name': 'Leonard Isitt Drive', 'short_name': 'Leonard Isitt Dr', 'types': ['route']}, {'long_name': 'Auckland Airport', 'short_name': 'Auckland Airport', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2022', 'short_name': '2022', 'types': ['postal_code']}], 'formatted_address': '12 Leonard Isitt Drive, Auckland Airport, Auckland 2022, New Zealand', 'geometry': {'location': {'lat': -37.0007672, 'lng': 174.7908222}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.9994182197085, 'lng': 174.7921711802915}, 'southwest': {'lat': -37.0021161802915, 'lng': 174.7894732197085}}}, 'place_id': 'ChIJs39vmehPDW0RSmzPIlyGviw', 'plus_code': {'compound_code': 'XQXR+M8 Auckland, New Zealand', 'global_code': '4VJPXQXR+M8'}, 'types': ['street_address']}]",-37.0007672,174.7908222
45,Church of Christ Mt Roskill,"361 Mount Albert Road, Mount Roskill, Auckland, 1041",Sunday 15 August,7.00 pm - 9.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '361', 'short_name': '361', 'types': ['street_number']}, {'long_name': 'Mount Albert Road', 'short_name': 'Mount Albert Rd', 'types': ['route']}, {'long_name': 'Mount Roskill', 'short_name': 'Mount Roskill', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1041', 'short_name': '1041', 'types': ['postal_code']}], 'formatted_address': '361 Mount Albert Road, Mount Roskill, Auckland 1041, New Zealand', 'geometry': {'location': {'lat': -36.9045793, 'lng': 174.7410793}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.90323031970851, 'lng': 174.7424282802915}, 'southwest': {'lat': -36.9059282802915, 'lng': 174.7397303197085}}}, 'place_id': 'ChIJeVQ0z2dGDW0RfoOSZBSJhCE', 'plus_code': {'compound_code': '3PWR+5C Auckland, New Zealand', 'global_code': '4VMP3PWR+5C'}, 'types': ['street_address']}]",-36.9045793,174.7410793
46,KFC Takapuna,"1 Taharoto Road, Takapuna, Auckland 0622",Sunday 15 August,5.50 pm - 6.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Taharoto Road', 'short_name': 'Taharoto Rd', 'types': ['route']}, {'long_name': 'Takapuna', 'short_name': 'Takapuna', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0622', 'short_name': '0622', 'types': ['postal_code']}], 'formatted_address': '1 Taharoto Road, Takapuna, Auckland 0622, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.78942900000001, 'lng': 174.7619521}, 'southwest': {'lat': -36.7896293, 'lng': 174.7616645}}, 'location': {'lat': -36.7895472, 'lng': 174.7618103}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7881801697085, 'lng': 174.7631572802915}, 'southwest': {'lat': -36.7908781302915, 'lng': 174.7604593197085}}}, 'place_id': 'ChIJe5NFFM45DW0R8sKNisQcksk', 'types': ['premise']}]",-36.7895472,174.7618103
47,Laundromatic - Chartwell,"27 Chartwell Avenue, Glenfield, 0629",Sunday 15 August,5.25 pm - 5.29 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '27', 'short_name': '27', 'types': ['street_number']}, {'long_name': 'Chartwell Avenue', 'short_name': 'Chartwell Ave', 'types': ['route']}, {'long_name': 'Glenfield', 'short_name': 'Glenfield', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0629', 'short_name': '0629', 'types': ['postal_code']}], 'formatted_address': '27 Chartwell Avenue, Glenfield, Auckland 0629, New Zealand', 'geometry': {'location': {'lat': -36.78331740000001, 'lng': 174.731682}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.78196841970851, 'lng': 174.7330309802915}, 'southwest': {'lat': -36.78466638029151, 'lng': 174.7303330197085}}}, 'place_id': 'ChIJ-4fS-ac5DW0RHIZpPOrT4AI', 'plus_code': {'compound_code': '6P8J+MM Auckland, New Zealand', 'global_code': '4VMP6P8J+MM'}, 'types': ['street_address']}]",-36.78331740000001,174.731682
48,Bus 95C Britomart station to Glenfield -,Bus 95C,Sunday 15 August,4.20 pm - 5.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,[],,
49,Britomart Bus Station,"8-12 Queen Street, Auckland Central, Auckland 1010",Sunday 15 August,4.10 - 4.20 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': 'Queen Street', 'short_name': 'Queen St', 'types': ['route']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0627', 'short_name': '0627', 'types': ['postal_code']}], 'formatted_address': '8 Queen Street, Auckland 0627, New Zealand', 'geometry': {'location': {'lat': -36.8255498, 'lng': 174.7478806}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -36.82420081970849, 'lng': 174.7492295802915}, 'southwest': {'lat': -36.82689878029149, 'lng': 174.7465316197085}}}, 'place_id': 'Ehs4IFF1ZWVuIFN0cmVldCwgTmV3IFplYWxhbmQiGhIYChQKEgkZHgPObTgNbRFlAB-W1heoEBAI', 'types': ['street_address']}]",-36.8255498,174.7478806
50,"Movie Monterey, Takapuna","32 Anzac Street, Takapuna, Auckland 0622",Sunday 15 August,3.36 pm - 5.45 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '32', 'short_name': '32', 'types': ['street_number']}, {'long_name': 'Anzac Street', 'short_name': 'Anzac St', 'types': ['route']}, {'long_name': 'Takapuna', 'short_name': 'Takapuna', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0622', 'short_name': '0622', 'types': ['postal_code']}], 'formatted_address': '32 Anzac Street, Takapuna, Auckland 0622, New Zealand', 'geometry': {'location': {'lat': -36.7865054, 'lng': 174.7719237}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7851564197085, 'lng': 174.7732726802915}, 'southwest': {'lat': -36.7878543802915, 'lng': 174.7705747197085}}}, 'place_id': 'ChIJLectk9c5DW0RgEpWhI0ewTY', 'plus_code': {'compound_code': '6Q7C+9Q Auckland, New Zealand', 'global_code': '4VMP6Q7C+9Q'}, 'types': ['street_address']}]",-36.7865054,174.7719237
51,Countdown Takapuna,"10 Barrys Point Road, Takapuna, Auckland 0622",Sunday 15 August,3.20 pm - 3.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '10', 'short_name': '10', 'types': ['street_number']}, {'long_name': 'Barrys Point Road', 'short_name': 'Barrys Point Rd', 'types': ['route']}, {'long_name': 'Takapuna', 'short_name': 'Takapuna', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0622', 'short_name': '0622', 'types': ['postal_code']}], 'formatted_address': '10 Barrys Point Road, Takapuna, Auckland 0622, New Zealand', 'geometry': {'location': {'lat': -36.7915196, 'lng': 174.7652356}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7901706197085, 'lng': 174.7665845802915}, 'southwest': {'lat': -36.7928685802915, 'lng': 174.7638866197085}}}, 'place_id': 'ChIJg87pLNI5DW0R9YXcEzvx0ZA', 'plus_code': {'compound_code': '6Q58+93 Auckland, New Zealand', 'global_code': '4VMP6Q58+93'}, 'types': ['street_address']}]",-36.7915196,174.7652356
52,Sunday school Church of Christ NZ Mount Roskill,"361 Mount Albert Road, Mount Roskill, Auckland 1041",Sunday 15 August,2.30 pm - 3.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '361', 'short_name': '361', 'types': ['street_number']}, {'long_name': 'Mount Albert Road', 'short_name': 'Mount Albert Rd', 'types': ['route']}, {'long_name': 'Mount Roskill', 'short_name': 'Mount Roskill', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1041', 'short_name': '1041', 'types': ['postal_code']}], 'formatted_address': '361 Mount Albert Road, Mount Roskill, Auckland 1041, New Zealand', 'geometry': {'location': {'lat': -36.9045793, 'lng': 174.7410793}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.90323031970851, 'lng': 174.7424282802915}, 'southwest': {'lat': -36.9059282802915, 'lng': 174.7397303197085}}}, 'place_id': 'ChIJeVQ0z2dGDW0RfoOSZBSJhCE', 'plus_code': {'compound_code': '3PWR+5C Auckland, New Zealand', 'global_code': '4VMP3PWR+5C'}, 'types': ['street_address']}]",-36.9045793,174.7410793
53,Giga Net Cafe,"L2 65 Wakefield St, Auckland CBD, Auckland 1010",Sunday 15 August,2.00 pm - 4.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': 'l2', 'short_name': 'l2', 'types': ['subpremise']}, {'long_name': '65', 'short_name': '65', 'types': ['street_number']}, {'long_name': 'Wakefield Street', 'short_name': 'Wakefield St', 'types': ['route']}, {'long_name': 'Auckland CBD', 'short_name': 'Auckland CBD', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '1010', 'short_name': '1010', 'types': ['postal_code']}], 'formatted_address': 'l2/65 Wakefield Street, Auckland CBD, Auckland 1010, New Zealand', 'geometry': {'location': {'lat': -36.8546654, 'lng': 174.7652321}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8533164197085, 'lng': 174.7665810802915}, 'southwest': {'lat': -36.8560143802915, 'lng': 174.7638831197085}}}, 'place_id': 'EkBsMi82NSBXYWtlZmllbGQgU3RyZWV0LCBBdWNrbGFuZCBDQkQsIEF1Y2tsYW5kIDEwMTAsIE5ldyBaZWFsYW5kIh4aHAoWChQKEgmHCjzS5UcNbRHskOH-APo59BICbDI', 'types': ['subpremise']}]",-36.8546654,174.7652321
54,"Manukau Memorial Gardens, Manukau","361 Puhinui Road, Wiri, Auckland, 2025",Sunday 15 August,1.30 pm - 2.30 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",19-Aug,"[{'address_components': [{'long_name': '361', 'short_name': '361', 'types': ['street_number']}, {'long_name': 'Puhinui Road', 'short_name': 'Puhinui Rd', 'types': ['route']}, {'long_name': 'Wiri', 'short_name': 'Wiri', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '2025', 'short_name': '2025', 'types': ['postal_code']}], 'formatted_address': '361 Puhinui Road, Wiri, Auckland 2025, New Zealand', 'geometry': {'location': {'lat': -36.995386, 'lng': 174.8373736}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.99403701970849, 'lng': 174.8387225802915}, 'southwest': {'lat': -36.99673498029149, 'lng': 174.8360246197085}}}, 'place_id': 'ChIJy4rSoRVODW0RJqFyLRFLPXk', 'plus_code': {'compound_code': '2R3P+RW Auckland, New Zealand', 'global_code': '4VMP2R3P+RW'}, 'types': ['street_address']}]",-36.995386,174.8373736
55,The Pumphouse Theatre,"2A Manurere Avenue, Takapuna, 0622",Sunday 15 August,1.30 pm - 7.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",18-Aug,"[{'address_components': [{'long_name': '2a', 'short_name': '2a', 'types': ['street_number']}, {'long_name': 'Manurere Avenue', 'short_name': 'Manurere Ave', 'types': ['route']}, {'long_name': 'Takapuna', 'short_name': 'Takapuna', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0622', 'short_name': '0622', 'types': ['postal_code']}], 'formatted_address': '2a Manurere Avenue, Takapuna, Auckland 0622, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7854086, 'lng': 174.7675982}, 'southwest': {'lat': -36.7856102, 'lng': 174.7673578}}, 'location': {'lat': -36.7854962, 'lng': 174.7675003}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7841604197085, 'lng': 174.7688269802915}, 'southwest': {'lat': -36.7868583802915, 'lng': 174.7661290197085}}}, 'place_id': 'ChIJM_b7B9o5DW0Re4AwK5yhaHs', 'types': ['premise']}]",-36.7854962,174.7675003
56,Birkenhead Superette & Lotto,"43 Birkenhead Avenue, Birkenhead, Auckland 0626",Sunday 15 August,1.00 pm - 2.00 pm,"Isolate at home for 14 days from date of last exposure. Test immediately, and on days 5 & 12 after last exposure. Call Healthline for what to do next.",20-Aug,"[{'address_components': [{'long_name': '43', 'short_name': '43', 'types': ['street_number']}, {'long_name': 'Birkenhead Avenue', 'short_name': 'Birkenhead Ave', 'types': ['route']}, {'long_name': 'Birkenhead', 'short_name': 'Birkenhead', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0626', 'short_name': '0626', 'types': ['postal_code']}], 'formatted_address': '43 Birkenhead Avenue, Birkenhead, Auckland 0626, New Zealand', 'geometry': {'location': {'lat': -36.8112721, 'lng': 174.7261553}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.8099231197085, 'lng': 174.7275042802915}, 'southwest': {'lat': -36.81262108029149, 'lng': 174.7248063197085}}}, 'place_id': 'ChIJ8fpN9vM4DW0RRvdT4nvfffc', 'plus_code': {'compound_code': '5PQG+FF Auckland, New Zealand', 'global_code': '4VMP5PQG+FF'}, 'types': ['street_address']}]",-36.8112721,174.7261553
